,Title,Company,Description,ContractType,Skills
0,Sales Manager - Dakar,HRS HOSPITALITY & RETAIL SYSTEMS,  We are currently seeking a dynamic person with experience in the hotel industry to join our team in Senegal. Sales experience is preferable but not a must if you are willing to learn and you have contacts in the hotel industry within the country. You will be joining our growing global sales team presenting the HRS wide portfolio of products to hospitality related companies across Senegal.  ,Statutaire,PMS - Tourisme - Vente
1,Développeur Python H/F - Ouest Foire,AMENTYS," Rejoignez AMENTYS en tant que  Développeur Python  pour un stage à partir de Juillet 2024 !  Concrètement votre quotidien ?  Au sein de l'équipe IT vous intègrerez la nouvelle cellule de développement et innovation. Cette cellule vise à doter la direction d'une capacité de proposition de solutions innovantes pour fournir des solutions pragmatiques aux besoins métiers. La cellule sera composée principalement de développeurs Java, Python pour les backend et des fonctionnels ayant une forte expertise métier. Au sein de cette cellule, vous contribuerez à développer des programmes / modules à valeur ajoutée pour nos clients. ",Stage,JAVA - PYTHON - SQL
2,Chef de Département : Coopération Multilatérale pour l’Afrique,AFRICAN TAX ADMINISTRATION FORUM (ATAF),"      ATAF     is seeking       a strategy professional capable of leading and implementing the necessary strategies        as       Head of     Department      :       Multilateral Trade             As a member of the      ATAF     Senior Management Team   , you will manage the implementation of     ATAF     's multilateral exchange agenda and program at continental and international levels, in order to support member countries and to positively influence the thinking and formulation of policies aligned with the African agenda.    ",CDD,Management - Support
3,Chef de Département : Services aux Membres,AFRICAN TAX ADMINISTRATION FORUM (ATAF),"      ATAF     is seeking a       dynamic       individual       for the role of     Department      Head : Member Services to     lead and implement     the     organization's      programs and strategies.           As a member of      the senior management team, your role will be to manage the operations and service delivery of the   member     services department .    ",CDD,Delivery - Management
4,Consultant SAP EHS (H/F),AFRICASHORE," Nous recherchons un  Consultant SAP EHS (H/F)  pour notre client, une société multinationale dans le domaine des services informatiques. 
	   
	  Mission :  
	   
	 
	 Définir le champ d'application et les priorités opérationnelles pour les changements à petite échelle et peut participer à des exercices de définition du champ d'application à plus grande échelle. 
	 Spécifier et documenter les exigences opérationnelles selon les instructions, en assurant la traçabilité jusqu'à la source. Les analysées pour s'assurer qu'elles correspondent aux objectifs de l'entreprise et qu'elles sont cohérentes... ",CDI - Freelance,REACH - SAP
5,Cloud System Integrator (M/F),AFRICASHORE," We are looking for  Cloud System Integrator  profiles / CVs to share with our clients for their future recruitment campaigns. 
   
  Mission:  
 
  Create future-proof system architectures for our highly interconnected 4G/5G communication solutions.  
  Define competitive end-to-end solutions together with top experts from different teams in an international environment.  
  Demonstrate strong understanding of Networking and security architectures and engage in technical discussions with Network and security architects of large enterprises.  
  Present both industry and Zscaler technical architecture as it relates to customers and prospects environment and technical requirements.  
  Ensure that our solutions fit smoothly... ","CDI, CDD - Freelance",AGILE - CVS
6,REACT Developer (M/F),AFRICASHORE," We are looking for  REACT Developer  profiles / CVs to pass on to our clients for their future recruitment campaigns. 
   
  Mission:   
   
 
	 Responsible for requirement analysis, Design and Development of modules. 
	 Using React and Redux, design and develop user interface components for JavaScript-based online and mobile apps. 
	 Develop new user-facing features. 
	 Build reusable code and libraries for future use. 
	 Ensure the technical feasibility of UI/UX designs. 
	 Writing application interface codes using JavaScript following react.js workflows. 
	 Review code, elicit requirements and design specifications. 
	 Prepares the deployment documents and deploys the code. 
	 Reports status to Project management... ","CDI, CDD - Freelance",BOOTSTRAP - CSS - CVS - GIT - JAVA - JAVASCRIPT - JQUERY - LESS - REACT
7,Cloud Engineer (M/F),AFRICASHORE," We are looking for  Cloud Engineer    profiles / CVs to share with our clients for their future recruitment campaigns. 
   
  Mission:    
 
      Implement IAM policies and configure VPCs to create a scalable and secure Network for the application workloads.  
      Develop and manage AWS development and migration programs.  
      Build Data Integration scripts using Python to integrate with upstream/downstream systems (within AWS Cloud Services ecosystem).  
      Develop application code for programs while following coding standards.  
       Resolve queries/issues and provide Application/functional support.  
      Recommend changes to improve established Data Integration processes.  
      Provides... ","CDI, CDD - Freelance",API - ARM - BGP - CVS - IAM - PUPPET - PYTHON - RDS - REST
8,Cloud System Administrator (M/F),AFRICASHORE," We are looking for  Cloud System Administrator  profiles / CVs to share with our clients for their future recruitment campaigns. 
   
  Mission:    
 
      Installing, configuring and maintain softwares, servers (on premise / Cloud), Networks and firewalls .  
      Overseeing/troubleshoot system performance, troubleshooting issues and outages Creating a backup and safeguarding the data(on premise / Cloud) if there are any hindrances Performing system upgrades following new releases.  
      Ensuring/Sustaining Network integrity, server deployment, security and efficiency of IT infrastructure .  
      Monitoring and maintaining Network servers such as file servers, VPN gateways and intrusion detection systems... ","CDI, CDD - Freelance",AZURE - CENTOS - CVS - DOCKER - LINUX - PERL - PREMISE - PYTHON - REDHAT - VPN - WAN
9,PHP Developer (M/F),AFRICASHORE," We are looking for  PHP Developer  profiles / CVs to pass on to our clients for their future recruitment campaigns. 
   
  Mission:  
   
 
	 Writing clean, fast code PHP to a high standard, in a timely and scalable way. 
	 Design E-Commerce websites and Dashboards using PHP, and Strong Knowledge on Integrations Like, Payment gateway, APi s etc. 
	 Establishing and guiding the website s architecture. 
	 Conducting analysis of website and application requirements. 
	 Writing back-end code and building efficient PHP modules. 
	 Developing back-end portals with an optimized database. 
	 Updating and altering application features to enhance performance. 
	 Helping formulate an effective, responsive design and turning it... ","CDI, CDD - Freelance",AJAX - API - CODEIGNITER - CSS3 - CVS - GIT - JAVASCRIPT - LARAVEL - MAGENTO - MERCURIAL - MONGODB - MVC - MYSQL - NOSQL - ORACLE - SQL - SYMFONY - XML - ZEND
10,AWS Cloud Architect (M/F),AFRICASHORE," We are looking for  AWS Cloud Architect  profiles / CVs to share with our clients for their future recruitment campaigns.    Mission:    
 
      Support and advise clients in the adoption and deployment of AWS services (IT Strategy, Opportunity Study, Audit, Framework and Roadmap).  
      Design solution platforms integrating AWS reference services (Serverless Architecture, Analytics, IoT, EKS, ...) in Native Cloud and Hybrid Cloud contexts.  
      Conduct research, tests, and execute new techniques which could be reused and applied to the project.  
      Accountable for designing, building, and optimizing automation systems that help to execute business web and data infrastructure platforms.  
 ","CDI, CDD - Freelance",AGILE - ALM - BASH - CVS - DNS - DOCKER - HTTP - IOT - JENKINS - LOAD BALANCING - PUPPET - PYTHON - REACT - SCRUM - SSL
11,Cyber Security Engineer (M/F),AFRICASHORE," We are looking for  Cyber Security Engineer  profiles / CVs to share with our clients for their future recruitment campaigns. 
   
  Mission:    
 
  Act as an internal subject matter expert with respect to CVA scanning and reporting. Assist in maintenance of the enterprise to VMLC (Vulnerability Management Life Cycle) policy and associated VM standard.  
  Conduct required tasks for the vulnerability scanning program and publish reported vulnerabilities to impacted teams for remediation.  
  Triage and risk rank vulnerabilities according to severity and exposure. Work with Product and IT teams to risk rank and patch vulnerabilities related to the technology stack. Develop remediation plans for vulnerabilities.... ","CDI, CDD - Freelance",CVS - ENDPOINT - IDEAL - JAVASCRIPT - PYTHON - VM
12,JAVASCRIPT Developer (M/F),AFRICASHORE," We are looking for  JAVASCRIPT Developer  profiles / CVs to pass on to our clients for their future recruitment campaigns. 
   
  Mission:  
   
 
	 Primarily responsible for developing software components using Core JavaScript, HTML5 and CSS. 
	 Ensure designs are in compliance with specifications. 
	 Prepare and produce releases of software components. 
	 Help maintain code quality, organization, unit tests and automation. 
	 Support continuous improvement by investigating alternatives and technologies and presenting these for architectural review. 
	 Building sustainable coding that may be used in the future. 
	 Modifying designs and specifications of complex applications. 
	 Analyzing code, requirements, system... ","CDI, CDD - Freelance",ANGULAR JS - API - BACKBONE JS - CSS - CVS - DOJO - HTML - JAVASCRIPT - JENKINS - JQUERY - MONGODB - ORACLE
13,NODE.JS Developer (M/F),AFRICASHORE," We are looking for  NODE.JS Developer  profiles / CVs to pass on to our clients for their future recruitment campaigns. 
   
  Mission:  
     
 
	 Design and develop business logic and backend services for full-scale applications. 
	 Be responsible for designing, coding, testing, and implementing web applications. 
	 Write scalable, robust, testable, efficient, and easily maintainable code for our online comparison calculators and internal tools. 
	 Be responsible for system design and application development of web applications. 
	 Documenting Node.js processes, including database schemas, as well as preparing reports. 
	 Design and implementation of low-latency, high-availability, and high-performance applications... ","CDI, CDD - Freelance",BOOTSTRAP - CSS3 - CVS - DOCKER - GIT - JAVASCRIPT - JIRA - JQUERY - JSON - LESS - MONGODB - MVC - MYSQL - NODE JS - NOSQL - POSTGRESQL - REACT - REDIS - REST - SQL - XML
14,QA Tester (M/F),AFRICASHORE," We are looking for  QA Tester  profiles / CVs to pass on to our clients for their future recruitment campaigns. 
   
  Mission:   
   
 
	 Work on tasks identified in the testing strategy and plan. 
	 Be responsible for the accurate recording of defects and the collation of metrics and KPI information for reporting purposes. 
	 Articulation of defects in detailed manner, assigning defects to technical teams, capturing target fix dates. 
	 Identifie the tasks and resources needed to ensure that their specific portion of the testing process meets software quality requirements prior to release into a live environment. 
	 Establish the testing process such as test automation, performance testing, testing process, test... ","CDI, CDD - Freelance",AGILE - API - APP - CVS - JAVA - MAVEN - MYSQL - SCRUM - SELENIUM - SQL
15,SWIFT Developer (M/F),AFRICASHORE," We are looking for  SWIFT Developer  profiles / CVs to pass on to our clients for their future recruitment campaigns. 
   
  Mission:  
   
 
	 We are looking for an iOS/Swift developer responsible for the development and maintenance of applications aimed towards iOS and OS X, including mobile phones, tablets, and full. 
	 Plan, design and build advanced and build secure applications for iOS and OS X platform. 
	 Monitor the performance, quality, and responsiveness of company s applications. 
	 Work with the rest of the team to define, design, and develop new features. 
	 Find and fix bugs in a timely manner. 
	 Worked in Agile / SCRUM Methodology. 
	 Help maintain high-level code quality, organization and... ","CDI, CDD - Freelance",AGILE - CVS - GIT - MERCURIAL - REST - SCRUM - SWIFT
16,AZURE Solutions Architect (M/F),AFRICASHORE," We are looking for  AZURE Solutions Architect  profiles / CVs to share with our clients for their future recruitment campaigns. 
   
  Mission:    
 
      Serve as in-house technical expert providing technical guidance on new features & functionalities, drive the deployment of the customers workloads into Azure and provide deployment guidance.  
      Deliver Cloud platform architecture documents detailing the vision for how Azure infrastructure and platform services support the overall application architecture.  
      Proven background in the design and implementation of large scale, global, complex custom application development systems (e.g., high transaction volumes).  
      Experience problem solving... ","CDI, CDD - Freelance",ACCESS - AGILE - ARM - AZURE - COSMOS - CVS - PAAS - REDIS - SHELL - SQL
17,Cloud Architect (M/F),AFRICASHORE," We are looking for  Cloud Architect  profiles / CVs to share with our clients for their future recruitment campaigns. 
   
  Mission:    
 
      Lead analysis, recommendations, and presentation of approaches on Cloud migration roadmaps, architecture / designs etc.  
      Involve in conducting Azure readiness assessments and evaluations and delivery of assessment reports, architecture/design/ deployment documents & presentations.  
      Architecting Cloud solutions for new applications.  
      Design Cloud architectures, environments, and solutions that meet the business requirements with an emphasis on meeting the overall business goals.  
      Design highly available, scalable and secure solutions using... ","CDI, CDD - Freelance",AGILE - API - ARM - AZURE - C# - COSMOS - CVS - LESS - NOSQL - PAAS - SQL - VM
18,Network Architect (M/F),AFRICASHORE," We are looking for  Network Architect  profiles / CVs to share with our clients for their future recruitment campaigns. 
   
  Mission:    
 
  Deliver Core Backbone Network Designs in alignment with industry best practices.  
  Deliver Customer Network Designs in alignment with industry best practices.  
  Support and Alignment with Internal Teams.  
  Contributor to Automation Stakeholders to deliver speed and accuracy for the enablement of new services.  
  Perform Core Network Changes.  
  Manage technical Network solutions and framework of [24]7 Network infrastructure.  
  Perform Network troubleshooting to isolate and diagnose common Network problems.  
  Upgrade Network hardware and software components as required... ","CDI, CDD - Freelance",BGP - CISCO - CVS - DHCP - DNS - ETHERNET - JUNIPER - MPLS - PYTHON - SNMP - TCP IP - WAN
